dataId,AdministradorFundo,AtivoDisponivel,Carencia,CarteiraCNPJ,CNPJAdministrador,DataDeVencimento,DescontoIR,DescricaoCarencia,DescricaoClasse,DescricaoCotizacaoAplicacao,DescricaoCotizacaoResgate,DescricaoEmissor,DescricaoIndexador,DescricaoIndiceBenchmark,DescricaoLiquidacaoAplicacao,DescricaoLiquidacaoResgate,DescricaoProduto,DescricaoTaxaPerformance,DescricaoTributacaoProduto,DescricaoTributacao,DiasUteisParaResgate,DiasVencimento,FamiliaCarteira,FiltroValorMinimo,GestorFundo,ProdutoId,Inativo,LucroMesAnterior,NDiasCotizacaoAplicacao,NomeAdministrador,NomeCompleto,NomeEmissor,NomeIndexador,NomeInvestimento,NomeProduto,Nome,NrDiasUteisCotizacaoResgate,NrDiasUteisLiqFAplicacao,NrDiasUteisLiqFResgate,PatrimonioLiquidoAtual,PercentualIndexador,PrazoCarencia,PrazoDias,PrecoUnitario,QuantidadeAvaliacoes,QuantidadeConsumida,Rentabilidade12Meses,RentabilidadeAno,RentabilidadeFundoUltimos36Meses,RentabilidadeIndiceBenchmarkAno,RentabilidadeIndiceBenchmarkMes,RentabilidadeIndiceBenchmarkUlt12,RentabilidadeIndiceBenchmarkUlt36,RentabilidadeInicioFundo,RentabilidadeMes,RentabilidadeUltimos12Meses,ResgateDias,RiscoAtivo,SaldoMinimoPermanencia,SeFGCAtivo,SeIRAtivo,StatusCarteira,Status,TaxaAdministracaoFixa,TaxaAdministracaoMaxima,TaxaAdministracaoMinima,TaxaAdm,TaxaCliente,TaxaEmissao,TaxaNegociada360,TaxaPerformance,TaxaPreCliente,TaxaPreEmissao,Taxa,TipoCarteira,TipoCota,TipoIndexador,TipoRegimeCondomonioCVM,Tributacao,ValorMinimoAplicacaoAdicional,ValorMinimoAplicaInicial,ValorMinimoResgate,ValorMinimo,Vencimento
36,,False,2020-11-03,,,2020-11-03,20,No venc.,PRIVADO,No dia,No dia,BANCO PAN S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,270,,5000,,a0W3u000009PBeIEAW,False,,,,,BANCO PAN S.A.,PRÉ,CDB,CDB PRE,,,,,,0,361,361,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,4.58,4.78,0,,,Pré fixado,,,,,,5000,2020-11-03
37,,False,2022-10-20,,,2022-10-20,15,No venc.,PRIVADO,No dia,No dia,BANCO PAN S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,986,,5000,,a0W3u000009PBeJEAW,False,,,,,BANCO PAN S.A.,PRÉ,CDB,CDB PRE,,,,,,0,1080,1080,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.97,6.17,0,,,Pré fixado,,,,,,5000,2022-10-20
38,BNY MELLON SERVIÇOS FINANCEIROS DTVM S.A.,True,,32.893.639/0001-30,03.502.968/0001-04,,22.5,Qualquer dia,,1 Dia útil,30 dias corridos,,,IBOVESPA,No dia,2 Dias úteis,,20% sobre o que exceder a 100% do IBOVESPA,Incidirá no momento do resgate, à alíquota de 15% sobre o lucro obtido.,15%,32 dias,,Renda Variável,5000,a183u000006WrzKAAS,a0W3u000009PBevEAG,False,2.24328256,1,PI DTVM SA,EQUITAS SELECTION MÃO AMIGA FIC AÇÕES,,,EQUITAS SELECTION MÃO AMIGA FIC AÇÕES,,EQUITAS MÃO AMIG,30,0,2,63313346.73,,,,,0,,0,4.00130035,0,0,0,0,0,44.279757,1.71944576,0,Qualquer dia,5,1000,False,False,Ativa,,1.6,0,0,,,,,,,,,FIC de Fundo de Ações,Fechamento,,Aberto,Ações,1000,5000,1000,,
39,,False,2021-11-05,,,2021-11-05,17.5,No venc.,PRIVADO,No dia,No dia,BANCO M�XIMA S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,637,,1000,,a0W3u000009PBf0EAG,False,,,,,BANCO M�XIMA S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,731,731,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,1.4,1.4,0,,,IPCA,,,,,,1000,2021-11-05
40,BNY MELLON SERVIÇOS FINANCEIROS DTVM S.A.,True,,12.004.203/0001-35,03.502.968/0001-04,,22.5,Qualquer dia,,1 Dia útil,30 dias corridos,,,IBOVESPA,No dia,2 Dias úteis,,20% sobre o que exceder a 100% do IBOVESPA,Incidirá no momento do resgate, à alíquota de 15% sobre o lucro obtido.,15%,32 dias,,Renda Variável,5000,a183u000006WrzKAAS,a0W3u000009PBfAEAW,False,-0.4457896,1,PI DTVM SA,EQUITAS SELECTION FIC FIA,,,EQUITAS SELECTION FIC FIA,,EQUITAS FIC FIA,30,0,2,4805840752.92,,,,,0,,50.7210379,1.33401602,157.60819943,0,0,0,0,703.016931,1.78777534,49.4460888338218,Qualquer dia,5,1000,False,False,Ativa,,2,0,0,,,,,,,,,FIC de Fundo de Ações,Fechamento,,Aberto,Ações,1000,5000,1000,,
41,,False,2021-10-27,,,2021-10-27,17.5,No venc.,PRIVADO,No dia,No dia,OMNI BANCO S.A,PRE,,No dia,No dia,CDB PRE,,,15%,,628,,10000,,a0W3u000009PBiEEAW,False,,,,,OMNI BANCO S.A,PRÉ,CDB,CDB PRE,,,,,,0,721,721,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.53,5.73,0,,,Pré fixado,,,,,,10000,2021-10-27
42,,False,2022-10-21,,,2022-10-21,15,No venc.,PRIVADO,No dia,No dia,OMNI BANCO S.A,PRE,,No dia,No dia,CDB PRE,,,15%,,987,,10000,,a0W3u000009PBiJEAW,False,,,,,OMNI BANCO S.A,PRÉ,CDB,CDB PRE,,,,,,0,1080,1080,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,6.15,6.35,0,,,Pré fixado,,,,,,10000,2022-10-21
43,,False,2020-11-16,,,2020-11-16,20,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,283,,5000,,a0W3u000009PBiOEAW,False,,,,,BANCO BMG S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,376,376,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,0.84,1.04,0,,,IPCA,,,,,,5000,2020-11-16
44,,False,2021-11-16,,,2021-11-16,17.5,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,648,,5000,,a0W3u000009PBiTEAW,False,,,,,BANCO BMG S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,741,741,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,1.18,1.38,0,,,IPCA,,,,,,5000,2021-11-16
45,,False,2022-11-16,,,2022-11-16,15,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,1013,,5000,,a0W3u000009PBiYEAW,False,,,,,BANCO BMG S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,1106,1106,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,2.07,2.27,0,,,IPCA,,,,,,5000,2022-11-16
46,,False,2024-11-18,,,2024-11-18,15,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,1746,,5000,,a0W3u000009PBidEAG,False,,,,,BANCO BMG S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,1839,1839,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,2.92,3.12,0,,,IPCA,,,,,,5000,2024-11-18
47,,False,2020-11-03,,,2020-11-03,20,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,PRE,,No dia,No dia,CDB PRE 1,,,15%,,270,,5000,,a0W3u000009PBiiEAG,False,,,,,BANCO BMG S.A.,PRÉ,CDB,CDB PRE 1,,,,,,0,361,361,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,4.7,4.9,0,,,Pré fixado,,,,,,5000,2020-11-03
48,,False,2021-10-27,,,2021-10-27,17.5,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,PRE,,No dia,No dia,CDB PRE 1,,,15%,,628,,5000,,a0W3u000009PBinEAG,False,,,,,BANCO BMG S.A.,PRÉ,CDB,CDB PRE 1,,,,,,0,721,721,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.44,5.64,0,,,Pré fixado,,,,,,5000,2021-10-27
49,,False,2022-10-21,,,2022-10-21,15,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,PRE,,No dia,No dia,CDB PRE 1,,,15%,,987,,5000,,a0W3u000009PBisEAG,False,,,,,BANCO BMG S.A.,PRÉ,CDB,CDB PRE 1,,,,,,0,1080,1080,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,6.07,6.27,0,,,Pré fixado,,,,,,5000,2022-10-21
